	rmspe_pre	rmspe_post	ratio	
1	 2.7599041	         .	 1.0496665	
2	 2.4675834	         .	 2.1658733	
3	 1.9532269	         .	  9.475112	
4	 7.6421146	         .	 .29444915	
5	  5.467154	         .	 1.8167809	
6	 9.6494942	         .	 2.2702787	
7	  1.373981	         .	 8.7370071	
8	 2.7097268	         .	 2.2883964	
9	 2.6981812	         .	 3.0160351	
10	 5.8020606	         .	 5.7920451	
11	  4.132195	         .	 1.6251318	
12	 4.0754333	         .	 .71147883	
13	 25.934092	         .	 1.0800546	
14	 2.1889153	         .	 2.9074564	
15	 4.6846161	         .	 2.2304554	
16	 4.2486343	         .	 1.8602917	
17	 2.3859794	         .	 2.3975396	
18	 1.6568177	         .	 4.0812993	
19	 2.3082893	         .	  3.178972	
20	  2.706269	         .	 1.3444046	
21	 7.5589557	         .	 1.4934042	
22	 59.037762	         .	 .29955244	
23	 2.3435307	         .	 3.6602623	
24	 10.824914	         .	 .69764888	
25	 5.3062758	         .	 .73498446	
26	 3.6808441	         .	 .35827464	
27	  3.169874	         .	 3.7768331	
28	  2.568759	         .	 1.2692704	
29	 12.838997	         .	 2.7286243	
30	 1.7170635	         .	 3.7226372	
31	 3.0348747	         .	 2.2882524	
32	 2.7005627	         .	 4.8445616	
33	 2.7537131	         .	  4.488627	
34	 24.367277	         .	 .61321652	
35	 7.9980187	         .	 1.4972311	
36	 2.1823084	         .	 7.2205448	
37	 3.5653195	         .	 6.1245522	
38	 2.6835196	         .	  2.162183	
39	 11.949689	         .	 .43695271	
